PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-08-30,10:27:29.78,1,1,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.3773,-2.276066,-4.294131,2285.390215,223.534118,1:30,5.65339,1.77007,6.09802,-19.07851,17.07198,14.95887,1.95137,-0.96239,79.70351,-5.922753,-1.608513,0.432741,,,,,,,,,,,,-9.05969,9.90426,-1.44668,50,5.46767,8.97841,-127.8372,-5.63066,-14.78432,29.7649,-16.01152,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-1,5a049480-4741-11ee-aa9e-eb63e75ec031,87.10153,,,8.6738,,,,,,,2dd188e9-9a4d-494c-87be-893320ef0759,2023-08-30,14:27:29.78,2023-08-30T10:27:29.7855672-04:00,2023-08-30T14:27:29.7855672Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,21f2e106-b5d3-4704-b4e6-70492f2c9e05,54.39894,-128.85735,14.88245,5.65125,-5.08189,-8.00576,-1.76308,9.48512,-7.39216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-08-30,10:27:46.91,1,2,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.69213,-0.824946,-4.034808,2235.498453,225.630128,1:30,5.60503,1.91073,5.97691,-23.58052,13.28717,12.2054,2.87331,-0.81861,78.97562,-5.281399,-1.84792,0.437013,,,,,,,,,,,,-7.52008,7.46953,-1.59775,50,5.52673,8.4356,-126.9114,-2.55746,-12.08291,29.56925,-20.17237,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-1,643cb310-4741-11ee-aa9e-eb63e75ec031,86.25017,,,8.71651,,,,,,,2dd188e9-9a4d-494c-87be-893320ef0759,2023-08-30,14:27:46.91,2023-08-30T10:27:46.9109944-04:00,2023-08-30T14:27:46.9109944Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,e8a07c16-cd54-4b4a-aa3a-e1edb9dab187,54.51885,-127.95993,14.78463,5.60473,-1.84215,-10.08619,-1.90447,8.86406,-6.04145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-08-30,10:28:16.08,1,3,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.20554,-0.422139,-3.122191,2231.57436,234.633545,1:45,5.48543,2.04198,5.61372,-24.92324,12.30154,15.63682,3.0139,0.4281,79.55092,-5.066195,-0.334292,0.439124,,,,,,,,,,,,-8.77709,6.70953,-1.78532,50,5.4334,6.22404,-126.4648,-1.76855,-14.20031,26.02875,-21.31877,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-1,759d3f30-4741-11ee-aa9e-eb63e75ec031,85.83544,,,7.65462,,,,,,,2dd188e9-9a4d-494c-87be-893320ef0759,2023-08-30,14:28:16.08,2023-08-30T10:28:16.0867512-04:00,2023-08-30T14:28:16.0867512Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,de779246-6913-493f-ba5e-7a6afdaa0f90,54.88473,-127.4662,13.01437,5.48567,-0.94836,-10.65938,-2.03529,6.77037,-7.10016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-08-30,10:28:57.88,1,4,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.88121,-1.769556,-3.667213,2239.405222,255.597114,2:30,5.29498,2.16951,6.04621,-32.08592,4.81551,14.19505,0.97903,-0.04728,79.73027,-7.703683,-1.114488,0.437213,,,,,,,,,,,,-8.37855,3.3102,-1.89137,50,5.13952,7.5154,-126.00744,-4.95924,-13.46519,25.70777,-26.85424,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-1,8e8a03c0-4741-11ee-aa9e-eb63e75ec031,86.21069,,,7.15093,,,,,,,2dd188e9-9a4d-494c-87be-893320ef0759,2023-08-30,14:28:57.88,2023-08-30T10:28:57.8851512-04:00,2023-08-30T14:28:57.8851512Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,409265fc-a3e3-4dc4-8eec-ce78b224c9f4,54.45435,-126.91295,12.85389,5.29754,-4.01334,-13.42712,-2.16444,7.98969,-6.73259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-08-30,10:29:18.94,1,5,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,2,2,Fastball,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,86.45408,-0.458766,-3.618267,2174.943778,249.830919,2:15,5.262,2.28138,5.79968,-31.77423,5.60607,12.21808,2.18659,-0.07026,79.57481,-6.317756,-1.433218,0.440041,,,,,,,,,,,,-7.17729,3.32756,-1.9911,50,5.20517,7.42972,-125.45113,-2.09515,-11.50786,23.92665,-26.83871,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-1,9b1931b0-4741-11ee-aa9e-eb63e75ec031,85.65673,,,6.87927,,,,,,,2dd188e9-9a4d-494c-87be-893320ef0759,2023-08-30,14:29:18.94,2023-08-30T10:29:18.9471928-04:00,2023-08-30T14:29:18.9471928Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,3b8e6464-4257-4b64-aa2c-70982109b57a,54.70028,-126.34441,11.96333,5.26469,-1.09315,-13.41936,-2.2765,7.85936,-5.75393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-08-30,10:29:37.58,2,1,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.6312,-2.477227,-2.153692,2190.648111,218.344901,1:15,5.56113,2.14095,5.93212,-22.68226,13.72068,9.92627,1.36955,0.96905,80.25561,-6.721049,-0.370821,0.43425,,,,,,,,,,,,-5.70197,8.08839,-1.97456,50,5.35026,4.37436,-127.13389,-6.21495,-9.32659,26.21139,-18.94404,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-1,a633c100-4741-11ee-aa9e-eb63e75ec031,86.79894,,,7.37558,,,,,,,2dd188e9-9a4d-494c-87be-893320ef0759,2023-08-30,14:29:37.58,2023-08-30T10:29:37.5835832-04:00,2023-08-30T14:29:37.5835832Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,9ba7f23d-4a5a-490b-9442-08ffd9cdf713,54.56659,-128.07193,13.10569,5.56055,-5.53699,-9.47202,-2.13708,4.70814,-4.6633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-08-30,10:30:04.40,2,2,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.22475,-0.280836,-1.380781,2359.703101,224.169409,1:30,5.59093,2.05153,6.13076,-22.30025,13.72166,12.08186,3.47291,1.78182,79.56856,-4.51941,0.797338,0.431971,,,,,,,,,,,,-6.63965,7.54292,-1.95196,50,5.55798,2.58177,-128.01742,-1.2906,-10.86013,29.97256,-19.8365,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-1,b62a5ce0-4741-11ee-aa9e-eb63e75ec031,87.25685,,,8.65619,,,,,,,2dd188e9-9a4d-494c-87be-893320ef0759,2023-08-30,14:30:04.40,2023-08-30T10:30:04.4045496-04:00,2023-08-30T14:30:04.4045496Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,bb132251-9a0e-4017-9786-bdccfd3e0d1d,54.36515,-129.03538,14.98628,5.59037,-0.61689,-9.91825,-2.04591,2.95061,-5.43006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-08-30,10:30:43.17,2,3,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.5813,-2.953025,-4.303162,2273.500301,221.196314,1:15,5.57595,1.89874,6.2664,-20.34033,15.1004,12.17564,1.14828,-1.06139,80.7957,-6.802456,-2.110134,0.428472,,,,,,,,,,,,-7.59874,9.06134,-1.58554,50,5.34661,9.17033,-128.23781,-7.21847,-12.6022,27.52551,-17.14622,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-1,cd509240-4741-11ee-aa9e-eb63e75ec031,87.96936,,,7.7856,,,,,,,2dd188e9-9a4d-494c-87be-893320ef0759,2023-08-30,14:30:43.17,2023-08-30T10:30:43.1712440-04:00,2023-08-30T14:30:43.1712440Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,596b1a5b-9183-4893-86f5-e758c70e9bb8,54.23282,-129.14317,13.76276,5.57476,-6.6545,-8.57311,-1.89399,9.58484,-6.3011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-08-30,10:30:59.90,2,4,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,3,0,ChangeUp,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,83.70947,-1.96201,-4.047142,1775.397379,259.473756,2:45,5.16291,2.3933,5.95359,-35.76817,4.44177,16.54154,0.35739,0.01216,76.40963,-8.566,-1.077921,0.456392,,,,,,,,,,,,-9.77308,3.24079,-2.08069,50,4.98642,7.94091,-121.25012,-5.31906,-14.43459,25.44956,-27.38749,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-1,d7451820-4741-11ee-aa9e-eb63e75ec031,82.58784,,,7.29984,,,,,,,2dd188e9-9a4d-494c-87be-893320ef0759,2023-08-30,14:30:59.90,2023-08-30T10:30:59.9092920-04:00,2023-08-30T14:30:59.9092920Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,277cccd0-369a-4020-a99e-68ab15c99c10,54.54671,-122.20071,12.72478,5.16599,-4.29607,-13.69374,-2.38737,8.48007,-7.21729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-08-30,10:31:18.79,3,1,"O'Neill, Tyler",1000120897,Right,BUC_BIS,"Test6, TestK6",10157495,Right,TestK,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.93232,-0.89181,-4.2547,1846.678033,258.441815,2:30,5.15895,2.29142,6.05323,-34.91691,4.55158,16.23981,1.42135,-0.30096,77.105,-7.349666,-1.337614,0.452165,,,,,,,,,,,,-9.56693,2.94268,-1.96892,50,5.07057,8.43498,-121.72029,-3.01614,-14.38022,23.46469,-27.75088,BUC_BIS,TestK,DepewField,TeamExclusive,Team,20230830-DepewField-Private-1,e2900640-4741-11ee-aa9e-eb63e75ec031,83.36,,,6.82733,,,,,,,2dd188e9-9a4d-494c-87be-893320ef0759,2023-08-30,14:31:18.79,2023-08-30T10:31:18.7929784-04:00,2023-08-30T14:31:18.7929784Z,,v3,471249,test-11,,,,Undefined,BUC_BIS,86b72c75-a84d-40c3-8fca-8accd4857b38,54.44773,-122.5747,11.73235,5.162,-2.00565,-13.87544,-2.28559,8.95861,-7.19011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
