PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-09-22,16:08:38.08,1,1,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Fluharty, Billy",286444,Right,BUC_BIS,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,73.60453,2.328474,-0.369203,2446.751969,42.280969,7:30,5.27504,1.51244,5.35396,-61.13586,-7.60004,-8.66646,2.36544,0.44396,66.62597,-8.822806,-1.911132,0.526616,,,,,,,,,,,,4.19445,-3.94433,-1.47292,50,5.44135,1.01899,-106.63678,2.32749,4.74184,21.45154,-36.63314,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230922-DepewField-Private-1,d1d9e510-5983-11ee-9fd2-a116a60a46b8,71.57487,,,6.97856,,,,,,,4c2e0644-39aa-4c19-8c7b-9fd636653595,2023-09-22,20:08:38.08,2023-09-22T16:08:38.0870000-04:00,2023-09-22T20:08:38.0870000Z,,v3,471249,471249,,,,Undefined,BUC_BIS,cd39418d-8416-4cba-b1ba-320b45bc054c,55.14482,-107.66677,10.72577,5.28737,4.0864,-18.31657,-1.51638,0.79131,2.37092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-09-22,16:08:50.16,1,2,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Fluharty, Billy",286444,Right,BUC_BIS,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.14648,3.52587,0.119378,2485.754707,42.598011,7:30,5.38474,1.47295,5.0173,-65.34878,-10.22922,-11.27138,3.27076,0.64634,65.89465,-8.326878,-1.871409,0.534348,,,,,,,,,,,,5.53929,-5.4813,-1.47507,50,5.67091,0.23356,-105.78512,4.25919,6.15263,21.37664,-38.26226,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230922-DepewField-Private-1,d906bf70-5983-11ee-9fd2-a116a60a46b8,70.5391,,,7.25183,,,,,,,4c2e0644-39aa-4c19-8c7b-9fd636653595,2023-09-22,20:08:50.16,2023-09-22T16:08:50.1620000-04:00,2023-09-22T20:08:50.1620000Z,,v3,471249,471249,,,,Undefined,BUC_BIS,bbec00af-65fb-4ba4-b21a-ad5db8da9c96,55.48126,-106.88701,10.68832,5.40053,6.23147,-19.13113,-1.47894,-0.08358,3.07631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-09-22,16:09:06.27,1,3,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Fluharty, Billy",286444,Right,BUC_BIS,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.28114,-2.805829,-2.990975,2406.385354,201.41932,12:45,5.51966,1.12208,5.67518,-12.05426,24.73718,9.068,1.89369,-0.91318,78.63395,-5.228963,-1.373564,0.436561,,,,,,,,,,,,-5.72599,14.02824,-0.87533,50,5.27556,6.3178,-128.81569,-6.5627,-9.26313,36.0235,-9.48011,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230922-DepewField-Private-1,e2990110-5983-11ee-9fd2-a116a60a46b8,86.33945,,,10.64719,,,,,,,4c2e0644-39aa-4c19-8c7b-9fd636653595,2023-09-22,20:09:06.27,2023-09-22T16:09:06.2720000-04:00,2023-09-22T20:09:06.2720000Z,,v3,471249,471249,,,,Undefined,BUC_BIS,35db66d8-a666-47c1-af99-09faf59fad50,54.81653,-130.15566,18.01175,5.51312,-6.21006,-4.74006,-1.11675,6.66237,-4.63157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-09-22,16:09:21.64,1,4,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Fluharty, Billy",286444,Right,BUC_BIS,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.07969,-2.960259,-4.121511,2388.432953,209.211412,1:00,5.55099,1.12342,6.02797,-16.57847,19.29619,10.02233,1.41838,-1.86495,80.01039,-6.156473,-2.324853,0.431087,,,,,,,,,,,,-6.44713,11.24694,-0.80571,50,5.30972,8.83684,-128.68668,-7.10497,-10.61891,31.13531,-13.64952,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230922-DepewField-Private-1,ebc81410-5983-11ee-9fd2-a116a60a46b8,87.43573,,,9.0693,,,,,,,4c2e0644-39aa-4c19-8c7b-9fd636653595,2023-09-22,20:09:21.64,2023-09-22T16:09:21.6410000-04:00,2023-09-22T20:09:21.6410000Z,,v3,471249,471249,,,,Undefined,BUC_BIS,b68760bc-2a90-4121-a34f-144f8837327d,54.46578,-129.76266,15.56765,5.5471,-6.63326,-6.82476,-1.11743,9.20381,-5.30946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-09-22,16:09:39.66,1,5,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Fluharty, Billy",286444,Right,BUC_BIS,Undefined,1,Top,0,3,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.95616,-1.346398,-0.634496,2352.328558,208.828117,1:00,5.601,1.20917,5.60375,-15.59926,21.05765,10.77784,3.04387,1.51498,79.12716,-4.379723,1.289503,0.435762,,,,,,,,,,,,-5.76166,11.61804,-1.16232,50,5.47653,0.96057,-128.81024,-3.4625,-9.39437,34.11597,-13.23081,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230922-DepewField-Private-1,f678e510-5983-11ee-9fd2-a116a60a46b8,86.49776,,,9.829,,,,,,,4c2e0644-39aa-4c19-8c7b-9fd636653595,2023-09-22,20:09:39.66,2023-09-22T16:09:39.6620000-04:00,2023-09-22T20:09:39.6620000Z,,v3,471249,471249,,,,Undefined,BUC_BIS,dca43721-dad3-4588-8944-3db4a58a1da8,54.8933,-130.09979,17.05799,5.59796,-2.96238,-6.6154,-1.20534,1.31567,-4.69719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-09-22,16:10:11.57,1,6,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Fluharty, Billy",286444,Right,BUC_BIS,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.02493,-3.514521,-2.046907,2421.981258,216.321864,1:15,5.51184,1.08586,5.67946,-16.1065,19.38533,13.25666,0.88721,0.28166,80.9567,-6.598395,0.322319,0.428781,,,,,,,,,,,,-7.41347,11.39666,-0.92187,50,5.20549,4.06714,-130.20527,-8.46742,-12.49215,32.03942,-12.96997,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230922-DepewField-Private-1,0981a2f0-5984-11ee-9fd2-a116a60a46b8,87.90604,,,9.06823,,,,,,,4c2e0644-39aa-4c19-8c7b-9fd636653595,2023-09-22,20:10:11.57,2023-09-22T16:10:11.5710000-04:00,2023-09-22T20:10:11.5710000Z,,v3,471249,471249,,,,Undefined,BUC_BIS,20336d16-7830-42e7-b4c8-32228c8ef92b,54.81709,-131.38526,16.01971,5.50854,-7.98974,-6.48499,-1.08013,4.52721,-6.24607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-09-22,16:10:42.34,2,1,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Keys, Sean",1000120893,Left,BUC_BIS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.36164,-3.24063,-3.185795,2355.267387,212.078328,1:00,5.62751,1.3258,5.86922,-16.16261,20.38611,11.9143,1.26259,-0.64362,79.55576,-6.352241,-1.052251,0.435118,,,,,,,,,,,,-7.05737,11.82575,-1.0743,50,5.3552,6.59064,-127.7521,-7.671,-11.48051,30.16491,-12.93662,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230922-DepewField-Private-1,1bda98d0-5984-11ee-9fd2-a116a60a46b8,86.6257,,,8.80589,,,,,,,4c2e0644-39aa-4c19-8c7b-9fd636653595,2023-09-22,20:10:42.34,2023-09-22T16:10:42.3400000-04:00,2023-09-22T20:10:42.3400000Z,,v3,471249,471249,,,,Undefined,BUC_BIS,e007dc13-9a8d-4b51-a311-b9b90ec81bb1,54.62539,-128.83962,15.08245,5.62335,-7.20461,-6.46831,-1.31937,7.00454,-5.74026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.9525,,0.817306,,-1.23334,0.96308,0.68983,-1.05148,5.89908,-0.46039,,,,-0.92944,114.06124,-12.57727,5.89791,5.05569,-10.36073,-0.50301,2.0128,2.99847,High,High,High,,,High,High,High
8,2023-09-22,16:11:05.99,2,2,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Keys, Sean",1000120893,Left,BUC_BIS,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.18489,-1.334155,-2.357202,1682.611024,225.674387,1:30,5.40071,1.27237,5.8506,-27.08942,16.80229,15.30741,1.90228,0.35643,72.03584,-6.487516,0.387401,0.476829,,,,,,,,,,,,-8.61056,9.58174,-1.0893,50,5.27685,4.2071,-117.39113,-3.5029,-11.61842,29.05922,-19.24518,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230922-DepewField-Private-1,29fd8620-5984-11ee-9fd2-a116a60a46b8,79.04809,,,9.14906,,,,,,,4c2e0644-39aa-4c19-8c7b-9fd636653595,2023-09-22,20:11:05.99,2023-09-22T16:11:05.9950000-04:00,2023-09-22T20:11:05.9950000Z,,v3,471249,471249,,,,Undefined,BUC_BIS,d4fc5cb5-e341-4827-9bf0-595f04cc6015,54.64118,-118.53444,14.52961,5.39978,-2.74571,-9.62259,-1.26382,4.66423,-5.80921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-09-22,16:11:30.67,2,3,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Keys, Sean",1000120893,Left,BUC_BIS,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,1,0,,88.78504,-1.597306,-1.188086,2278.242171,216.33502,1:15,5.60339,1.46446,5.65345,-17.80308,18.46009,12.60981,2.62938,1.40706,80.0504,-4.992694,1.065154,0.433415,,,,,,,,,,,,-6.73229,10.23217,-1.37179,50,5.45703,2.10704,-128.6747,-4.11661,-11.12684,30.24128,-15.26276,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230922-DepewField-Private-1,38a5a900-5984-11ee-9fd2-a116a60a46b8,86.96611,,,8.73464,,,,,,,4c2e0644-39aa-4c19-8c7b-9fd636653595,2023-09-22,20:11:30.67,2023-09-22T16:11:30.6770000-04:00,2023-09-22T20:11:30.6770000Z,,v3,471249,471249,,,,Undefined,BUC_BIS,df93a2da-4602-445c-bb2a-b1b2768faa1f,54.84203,-129.80769,15.12064,5.60055,-3.54479,-7.63138,-1.45854,2.52391,-5.56342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.21537,1.554849,0.719155,0.835693,-0.80488,2.43194,-1.45018,-1.76845,5.17443,-3.59821,64.51518,2.10366,-60.26327,-1.73733,84.77293,-6.56799,5.21208,8.22532,-14.28483,-3.6848,-77.24406,11.39968,High,High,High,,,High,High,High
10,2023-09-22,16:11:57.13,2,4,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Keys, Sean",1000120893,Left,BUC_BIS,Undefined,1,Top,1,2,1,Curveball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,75.30868,1.517283,-1.725467,2483.436654,92.459488,9:00,5.2286,1.43517,5.54143,-48.39613,1.98539,-6.75485,2.61462,-0.74084,68.579,-7.369502,-2.929298,0.510866,72.89863,-23.965452,85.61922,,,,,8.50871,8.50871,54.147616,0.066442,2.92055,0.94429,-1.28083,50,5.32782,3.53613,-109.2181,1.38174,3.49102,21.10385,-31.04531,BUC_BIS,BUC_BIS,DepewField,TeamExclusive,Team,20230922-DepewField-Private-1,4876e290-5984-11ee-9fd2-a116a60a46b8,73.78146,2.89649,,6.72968,,,,4.4858,2.89649,0.39939,4c2e0644-39aa-4c19-8c7b-9fd636653595,2023-09-22,20:11:57.13,2023-09-22T16:11:57.1300000-04:00,2023-09-22T20:11:57.1300000Z,GroundBall,v3,471249,471249,,,,Undefined,BUC_BIS,131648b4-7538-4b59-bf0c-b9b4e6f7ee10,54.95844,-110.17204,10.55193,5.23365,2.78505,-15.52266,-1.4371,3.37833,1.74551,180,4.4855,7.49132,,,,,,,,2.89827,-43.59441,,,,,,,,0.39541,97.78722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
